2020/10/10 16:04:46 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://[::1]:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:04:48 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://127.0.0.1:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:06:01 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://127.0.0.1:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:06:03 [error] 13012#4704: *4 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "POST /api/login/userLogin HTTP/1.1", upstream: "http://[::1]:12320/login/userLogin", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/10 16:09:08 [error] 13012#4704: *12 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/forget.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /forget.html HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/"
2020/10/12 10:52:17 [error] 9788#16212: *64 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 10:52:19 [error] 9788#16212: *64 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:03:55 [error] 9788#16212: *68 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:09:52 [error] 9788#16212: *73 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:11:09 [error] 9788#16212: *79 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:11:25 [error] 9788#16212: *80 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:12:05 [error] 9788#16212: *78 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:12:38 [error] 9788#16212: *82 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:15:00 [error] 9788#16212: *85 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:32:31 [error] 9788#16212: *95 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:49:48 [error] 9788#16212: *100 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 11:54:26 [error] 9788#16212: *106 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:00:14 [error] 9788#16212: *111 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:01:01 [error] 9788#16212: *109 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:01:08 [error] 9788#16212: *109 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:03:06 [error] 9788#16212: *114 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:35:18 [error] 9788#16212: *117 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:35:53 [error] 9788#16212: *117 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:37:00 [error] 9788#16212: *127 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:37:09 [error] 9788#16212: *127 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:37:31 [error] 9788#16212: *125 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:37:37 [error] 9788#16212: *125 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:37:44 [error] 9788#16212: *125 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/dist/views/examset/disease_keyword.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /dist/views/examset/disease_keyword.html?v=1602477451240 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:37:46 [error] 9788#16212: *125 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:38:24 [error] 9788#16212: *127 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:39:18 [error] 9788#16212: *127 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:40:33 [error] 9788#16212: *130 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:41:34 [error] 9788#16212: *132 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:43:47 [error] 9788#16212: *135 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:44:59 [error] 9788#16212: *148 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:45:19 [error] 9788#16212: *144 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:52:19 [error] 9788#16212: *149 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /api/login/userLoginOut HTTP/1.1", upstream: "http://127.0.0.1:12320/login/userLoginOut", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:52:21 [error] 9788#16212: *149 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /api/login/userLoginOut HTTP/1.1", upstream: "http://[::1]:12320/login/userLoginOut", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:56:11 [error] 9788#16212: *158 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:57:34 [error] 9788#16212: *161 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:58:05 [error] 9788#16212: *160 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 12:59:55 [error] 9788#16212: *168 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:00:25 [error] 9788#16212: *168 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:04:23 [error] 9788#16212: *173 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:04:29 [error] 9788#16212: *173 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/dist/views/examset/disease_keyword.html" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /dist/views/examset/disease_keyword.html?v=1602479063000 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:04:31 [error] 9788#16212: *173 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:05:06 [error] 9788#16212: *172 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:06:15 [error] 9788#16212: *178 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:07:21 [error] 9788#16212: *183 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:08:31 [error] 9788#16212: *184 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:08:43 [error] 9788#16212: *181 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:29:29 [error] 9788#16212: *193 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:31:19 [error] 9788#16212: *202 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:32:22 [error] 9788#16212: *200 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:33:08 [error] 9788#16212: *202 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
2020/10/12 13:34:11 [error] 9788#16212: *201 CreateFile() "D:\Work\HealthSC\Health_2020_SC\code\runtime\nginx/../../UI/healthUI/mockup/exam_project_test2.json" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /mockup/exam_project_test2.json?page=1&limit=10 HTTP/1.1", host: "127.0.0.1:12310", referrer: "http://127.0.0.1:12310/start/index.html"
